last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,batting_avg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,hard_hit_percent,avg_best_speed
Beltre, Adrian,134181,2018,39,433,118,79,23,1,15,0.273,88.7,13.6,39.7,6.4,7,27.8,25.8,31.3,37.4,98.43513948
Martinez, Victor,400121,2018,39,467,117,87,21,0,9,0.251,87.8,14.1,35.1,4.7,4.9,28.9,28.7,29.4,30.6,96.55788406
Pujols, Albert,405395,2018,38,465,114,75,20,0,19,0.245,90,14.1,34.5,6.2,6.7,25.6,27.5,31.8,40.9,99.83340243
Mauer, Joe,408045,2018,35,486,137,103,27,1,6,0.282,91.1,4.4,36.9,5,7.2,31.4,12.4,39.1,44.3,99.89294592
Reyes, Jose,408314,2018,35,228,43,24,12,3,4,0.189,85.4,12.7,28.4,2.6,2.6,22.6,31.1,35.8,24.3,95.2817585
Choo, Shin-Soo,425783,2018,35,560,148,96,30,1,21,0.264,89.3,6.1,35.9,11.1,6.9,25.1,15.2,38.1,40.5,99.92469654
Molina, Yadier,425877,2018,35,459,120,80,20,0,20,0.261,88.2,15.4,37.6,5.5,7,26.8,27.8,28.8,33.8,97.33885824
Cano, Robinson,429664,2018,35,310,94,62,22,0,10,0.303,93,8.2,37.4,8.3,4.5,27.5,18.5,39.2,51.5,102.4827126
Encarnacion, Edwin,429665,2018,35,500,123,74,16,1,32,0.246,89.9,18,34.1,11.2,8,21.9,26.7,26.9,41.4,100.7665513
Bautista, Jose,430832,2018,37,325,66,35,18,0,13,0.203,90.8,19.8,34.4,7.9,9.8,23.3,31.6,23.3,43.3,101.4150061
Jones, Adam,430945,2018,32,580,163,113,35,0,15,0.281,88.3,13.2,35.6,4.9,5.3,27.5,27.3,32,33.1,98.02876214
Martin, Russell,431145,2018,35,289,56,38,8,0,10,0.194,90.6,10.1,22.7,6.3,7.2,19.8,23.7,41.1,43,99.94659096
Granderson, Curtis,434158,2018,37,343,83,46,22,2,13,0.242,88.7,16.9,44.8,6.3,9.6,30.1,28.5,22.2,34.3,97.94008092
Morales, Kendrys,434778,2018,35,413,103,67,15,0,21,0.249,92.3,10,34.4,12.1,7.7,26,19.2,33.4,52.6,101.980026
Kinsler, Ian,435079,2018,36,487,117,77,26,0,14,0.24,85.3,17.7,36.6,3.1,3.8,24.2,34.3,29.8,26.2,95.23951075
Walker, Neil,435522,2018,32,347,76,52,12,1,11,0.219,88.1,13.7,42.8,6.1,9.5,26.9,26.5,27.7,33.3,98.03696328
Suzuki, Kurt,435559,2018,34,347,94,58,24,0,12,0.271,87.2,18.4,33.2,3.9,6.8,28.7,33.5,22.9,35,97.36767916
Desmond, Ian,435622,2018,32,555,131,80,21,8,22,0.236,90.1,0.1,28.5,7,5.3,20,13,52.4,43.2,100.7442859
Cruz Jr., Nelson,443558,2018,37,519,133,77,18,1,37,0.256,93.9,12.8,31.3,13.8,7,23.5,22.8,31.3,51.7,105.6614156
Trumbo, Mark,444432,2018,32,330,86,57,12,0,17,0.261,92.8,10.4,33.1,10.2,6.5,26.9,21.2,34.7,48.6,103.9091445
Peralta, David,444482,2018,30,560,164,104,25,5,30,0.293,91.5,6.7,32.9,7.8,8.4,24.7,17.4,39.3,46.3,102.6311806
Pina, Manny,444489,2018,31,306,77,53,13,2,9,0.252,84.9,13.9,37.3,5.2,5.2,28.1,24.1,28.9,26.6,96.27408952
Escobar, Alcides,444876,2018,31,485,112,83,22,3,4,0.231,84.6,10.6,30.3,2.1,3.5,22.2,27.7,37.4,21.5,94.38942201
Jay, Jon,445055,2018,33,527,141,112,19,7,3,0.268,85.1,4.2,31.8,1.8,3,30.9,14.3,44.8,21.4,94.55073061
Duda, Lucas,446263,2018,32,328,79,50,14,1,14,0.241,89.5,19.6,42.8,10,8.3,24.5,32.3,23.6,36.7,99.82841444
Wieters, Matt,446308,2018,32,235,56,40,8,0,8,0.238,87.1,18.5,32.6,4.7,8.3,22.3,33.7,26.4,33.3,97.31958125
Longoria, Evan,446334,2018,32,480,117,72,25,4,16,0.244,88.5,13.6,32.6,7.6,6,24.5,27.3,32.6,37.2,98.45558635
Cozart, Zack,446359,2018,32,224,49,29,13,2,5,0.219,85.6,17.4,38.9,2.2,6.5,24.9,31.9,30.3,27.7,95.71311446
Davis, Chris,448801,2018,32,470,79,51,12,0,16,0.168,89.3,15.1,35.5,10.3,7.8,19.9,27.7,31.6,40.1,99.80905936
Zobrist, Ben,450314,2018,37,455,139,99,28,3,9,0.305,89.9,9,35,3,5.7,28.5,22.1,38.7,38.7,98.1077867
Fowler, Dexter,451594,2018,32,289,52,34,10,0,8,0.18,85.3,12.6,30.7,3.2,6,24.3,29.4,31.7,28,95.58233569
Flowers, Tyler,452095,2018,32,251,57,40,9,0,8,0.227,90,12.9,36.9,6.8,9.1,25,26.1,29.5,44.6,100.9976067
Span, Denard,452655,2018,34,437,114,74,22,7,11,0.261,87.2,13.3,36.7,2.7,2.5,32.6,25.8,32.3,29.6,96.5221385
Cabrera, Asdrubal,452678,2018,32,546,143,83,36,1,23,0.262,90,14.6,33.1,7.2,8.4,25.6,26.3,28.9,39.3,98.63173839
Blackmon, Charlie,453568,2018,31,626,182,115,31,7,29,0.291,87.5,12,34.9,6.5,4.8,28.1,22.8,32.3,35.2,98.50848805
Frazier, Todd,453943,2018,32,408,87,51,18,0,18,0.213,89.6,18.7,31.6,6.9,7.6,20.4,34.5,27.3,37,99.97737987
Iannetta, Chris,455104,2018,35,299,67,42,13,1,11,0.224,92,13.6,36.6,9.3,8.3,22.7,26.9,30.1,43.7,102.1659887
Maldonado, Martin,455117,2018,31,373,84,56,18,1,9,0.225,85.7,14.7,31.5,5,3.9,24.4,29,32.6,26.5,95.80835569
Chirinos, Robinson,455139,2018,34,360,80,46,15,1,18,0.222,88,21.9,36.5,10.8,7.7,21.6,36,20.3,39.6,99.17646595
Markakis, Nick,455976,2018,34,623,185,126,43,2,14,0.297,90.6,10.1,38.4,3.1,6,32.4,23.2,33.9,41.6,99.10354626
Nunez, Eduardo,456488,2018,31,480,127,91,23,3,10,0.265,88.3,9.4,27.2,3.4,2.4,25.5,23.6,41.9,35.7,98.95109367
Pearce, Steve,456665,2018,35,215,61,35,14,1,11,0.284,89.3,11.8,35.2,10.8,9.1,25.6,18.8,31.3,39.2,99.79762296
Cain, Lorenzo,456715,2018,32,539,166,129,25,2,10,0.308,89.1,4.9,30.9,3.4,4,28,17.9,43.4,40.5,100.2348083
McCutchen, Andrew,457705,2018,31,569,145,92,30,3,20,0.255,90,13.4,36.2,8.4,7.7,24.8,24.6,32.3,41.9,99.79801907
Jackson, Austin,457706,2018,31,347,85,64,17,1,3,0.245,87,11.1,33.5,2.8,5.6,27.9,23.7,36.7,32.4,96.97618934
Upton, Justin,457708,2018,30,533,137,88,18,1,30,0.257,90.7,11.9,34.7,14,6.6,24.8,19.6,30.9,47.4,102.5282379
Maybin, Cameron,457727,2018,31,342,85,65,14,2,4,0.249,86.7,7.9,34.6,4.1,5.6,25.7,21.9,37.9,33.1,97.19870724
Turner, Justin,457759,2018,33,365,114,68,31,1,14,0.312,89.1,18.3,44.7,7.7,5.8,33.2,31.6,20.8,36.7,97.75407433
Posey III, Buster,457763,2018,31,398,113,85,22,1,5,0.284,89.1,10.3,35.2,5.2,5.8,28,22.8,36.9,34.9,97.88407299
Bruce, Jay,457803,2018,31,319,71,43,18,1,9,0.223,88.4,21.4,37.6,9,8.2,28.2,33.1,20,34.8,98.31214943
Votto, Joey,458015,2018,34,503,143,101,28,2,12,0.284,88.1,13.4,45.9,6.7,10.6,32.3,21.2,25.7,35.1,97.53208571
Gardner, Brett,458731,2018,34,530,125,86,20,7,12,0.236,88,9.4,30.6,2.8,5.1,21.3,26.6,39.4,32.9,97.37125296
Hundley, Nick,460026,2018,34,282,68,43,13,2,10,0.241,88.9,15.6,38.6,6.6,8.6,28.9,25.9,28.4,39.6,99.70442586
Braun, Ryan,460075,2018,34,405,103,57,25,1,20,0.254,92.3,6.4,36.2,10.8,8,24.1,14.6,39,49.5,103.1138867
Gordon, Alex,460086,2018,34,506,124,87,24,0,13,0.245,88.5,10.9,36.5,6.8,6.5,27.1,21.6,33.9,39.7,99.24484599
Gomez, Carlos,460576,2018,32,360,75,49,15,2,9,0.208,87.1,19.8,33.2,5,4.2,24.3,33.6,25.9,29.3,97.97249944
Kemp, Matt,461314,2018,33,462,134,88,25,0,21,0.29,89.6,15.8,42.1,11,5.9,25.7,26.6,24.6,39.1,100.1604935
Andrus, Elvis,462101,2018,29,395,101,72,20,3,6,0.256,87.2,8.7,30.8,4.2,4.2,22.7,23.9,43.8,30.5,96.68591394
Cervelli, Francisco,465041,2018,32,332,86,56,15,3,12,0.259,88.8,16.3,35.8,8.3,9.4,23.2,27.2,28.3,39.8,98.97431278
Cabrera, Melky,466320,2018,33,250,70,47,17,0,6,0.28,90.7,9.1,33.6,2.3,3.7,34.6,19.8,38.7,41.7,99.51801759
Sandoval, Pablo,467055,2018,31,230,57,37,10,1,9,0.248,89.6,9.7,32.4,5,5.6,23.5,22.9,40.2,36.9,99.32753356
Ramos, Wilson,467092,2018,30,382,117,79,22,1,15,0.306,91.3,4.5,33.6,7.2,7.9,25,15.1,40.8,48.2,101.7230229
Santana, Carlos,467793,2018,32,560,128,74,28,2,24,0.229,88.9,15.4,30.1,6.9,6.7,18.7,30.7,32.8,39.1,100.0432013
Parra, Gerardo,467827,2018,31,401,114,91,17,0,6,0.284,86.8,9.2,34.7,2.7,6.3,28.1,21.1,37.8,26.6,96.06999261
Gonzalez, Carlos,471865,2018,32,463,128,76,32,4,16,0.276,89.7,9,30,6.2,6.5,21,24.4,37.4,39.1,102.1373616
Valbuena, Luis,472528,2018,32,266,53,35,9,0,9,0.199,89.7,18.2,29.8,10.1,4.2,22,32.7,28,41.3,99.38285494
Mercer, Jordy,474568,2018,31,394,99,62,29,2,6,0.251,87.6,13.1,40.8,4.8,4.8,32.5,25.4,29.3,31.8,97.31172516
Belt, Brandon,474832,2018,30,399,101,67,18,2,14,0.253,87,23.3,43.9,10.5,5.1,25.2,36.7,17.3,31.6,97.85229743
Alonso, Yonder,475174,2018,31,516,129,87,19,0,23,0.25,87.8,15.7,36.9,9.8,5,26.6,25.9,27.1,37.5,99.19388521
Smoak, Justin,475253,2018,31,505,122,63,34,0,25,0.242,89.5,15,36.9,10.8,7.7,21.3,27.3,31,42.5,100.2999947
Zimmerman, Ryan,475582,2018,33,288,76,40,21,2,13,0.264,92.6,7.1,28.9,13.6,7.2,19.1,18.3,40.9,52.8,102.9445918
Lowrie, Jed,476704,2018,34,596,159,98,37,1,23,0.267,89.2,17.4,38,5.3,9.6,25.1,32.7,25.5,37.9,98.08241291
Brantley Jr., Michael,488726,2018,31,570,176,121,36,2,17,0.309,90.2,9.5,38.3,3.5,6,30.8,21.3,35.2,38.4,98.88070417
Morrison, Logan,489149,2018,30,318,59,31,13,0,15,0.186,88.7,20.5,36,10.9,7.9,20.5,31.4,23.4,38.2,100.098455
Hernandez, Gorkys,491676,2018,30,414,97,64,16,2,15,0.234,87.5,12.6,30,7.5,5.5,23.5,22.5,34.9,35.8,98.98993557
Gurriel, Yuli,493329,2018,34,537,156,109,33,1,13,0.291,89.3,11.5,32.6,1.9,5.2,24.1,29.3,38.3,36.6,98.25014535
Solarte, Yangervis,500208,2018,30,468,106,69,20,0,17,0.226,87.1,14.1,30,4.5,4.8,26,27,34.3,32,97.4511858
Rojas, Miguel,500743,2018,29,488,123,99,13,0,11,0.252,84.7,9.3,35.2,0.9,3.1,29.8,23.7,38.3,23.8,94.810442
Escobar, Eduardo,500871,2018,29,566,154,80,48,3,23,0.272,86.5,18.9,38.6,8.3,6.7,23,32.8,25,27.6,96.60466172
